value,reportDate,prettyValue,realtyId
207595.0,2020-02-01,207 595 ₽/м²,1
220493.0,2020-03-01,220 493 ₽/м²,1
228764.0,2020-04-01,228 764 ₽/м²,1
228764.0,2020-05-01,228 764 ₽/м²,1
239315.0,2020-06-01,239 315 ₽/м²,1
236383.0,2020-07-01,236 383 ₽/м²,1
242815.0,2020-08-01,242 815 ₽/м²,1
264480.0,2020-09-01,264 480 ₽/м²,1
271186.0,2020-12-01,271 186 ₽/м²,1
253054.0,2021-01-01,253 054 ₽/м²,1
249660.0,2021-02-01,249 660 ₽/м²,1
241441.0,2021-03-01,241 441 ₽/м²,1
249352.0,2021-04-01,249 352 ₽/м²,1
258928.0,2021-05-01,258 928 ₽/м²,1
273997.0,2021-06-01,273 997 ₽/м²,1
294263.0,2021-07-01,294 263 ₽/м²,1
300768.0,2021-08-01,300 768 ₽/м²,1
286521.0,2021-09-01,286 521 ₽/м²,1
292509.0,2021-10-01,292 509 ₽/м²,1
308614.0,2021-11-01,308 614 ₽/м²,1
308614.0,2021-12-01,308 614 ₽/м²,1
314879.0,2022-01-01,314 879 ₽/м²,1
315990.0,2022-02-01,315 990 ₽/м²,1
327094.0,2022-04-01,327 094 ₽/м²,1
275862.0,2022-05-01,275 862 ₽/м²,1
272414.0,2022-06-01,272 414 ₽/м²,1
291396.0,2022-07-01,291 396 ₽/м²,1
300303.0,2022-08-01,300 303 ₽/м²,1
312955.0,2022-09-01,312 955 ₽/м²,1
315520.0,2022-10-01,315 520 ₽/м²,1
311993.0,2022-11-01,311 993 ₽/м²,1
311993.0,2022-12-01,311 993 ₽/м²,1
315520.0,2023-02-01,315 520 ₽/м²,1
315520.0,2023-03-01,315 520 ₽/м²,1
315520.0,2023-04-01,315 520 ₽/м²,1
345455.0,2023-08-01,345 455 ₽/м²,1
345455.0,2023-09-01,345 455 ₽/м²,1
387320.0,2024-09-01,387 320 ₽/м²,1
390781.0,2024-10-01,390 781 ₽/м²,1
380991.0,2024-11-01,380 991 ₽/м²,1
372210.0,2024-12-01,372 210 ₽/м²,1
369513.0,2025-01-01,369 513 ₽/м²,1
166667.0,2020-02-01,166 667 ₽/м²,2
174888.0,2020-07-01,174 888 ₽/м²,2
207106.0,2020-08-01,207 106 ₽/м²,2
233959.0,2020-09-01,233 959 ₽/м²,2
213435.0,2020-10-01,213 435 ₽/м²,2
212375.0,2020-11-01,212 375 ₽/м²,2
212375.0,2020-12-01,212 375 ₽/м²,2
212375.0,2021-01-01,212 375 ₽/м²,2
